nu_ano,Nome da IES,sg_ies,no_categad,sg_uf,igc,fx_igc
2016,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,SC,2.91455653054822,3
2016,UNIVERSIDADE ESTADUAL DO VALE DO ACARAÚ,UVA,Pessoa Jurídica de Direito Público - Estadual,CE,2.2648786750466,3
2016,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Pessoa Jurídica de Direito Público - Federal,MG,3.21186158497373,4
2016,UNIVERSIDADE DO SAGRADO CORAÇÃO,USC,Privada sem fins lucrativos,SP,2.95528658781118,4
2016,UNIVERSIDADE SEVERINO SOMBRA,USS,Privada sem fins lucrativos,RJ,2.60353514501058,3
2016,UNIVERSIDADE DE UBERABA,UNIUBE,Privada sem fins lucrativos,MG,2.36336265892122,3
2016,UNIVERSIDADE DE SOROCABA,UNISO,Privada sem fins lucrativos,SP,2.41028499883973,3
2016,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Privada com fins lucrativos,RJ,3.12508286364219,4
2016,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,Privada com fins lucrativos,RJ,2.85419806672053,3
2016,UNIVERSIDADE METODISTA DE SÃO PAULO,UMESP,Privada sem fins lucrativos,SP,2.79076638944968,3
2016,UNIVERSIDADE CASTELO BRANCO,UCB,Privada sem fins lucrativos,RJ,2.42419767498563,3
2016,UNIVERSIDADE SÃO JUDAS TADEU,USJT,Privada com fins lucrativos,SP,3.19563160788105,4
2016,UNIVERSIDADE DE RIBEIRÃO PRETO,UNAERP,Privada sem fins lucrativos,SP,3.10816465779574,4
2016,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,SP,2.78228732642761,3
2016,UNIVERSIDADE CATÓLICA DE SANTOS,UNISANTOS,Privada sem fins lucrativos,SP,2.99701434065761,4
2016,UNIVERSIDADE SANTA ÚRSULA,USU,Privada sem fins lucrativos,RJ,2.20662421701213,3
2016,UNIVERSIDADE METODISTA DE PIRACICABA,UNIMEP,Privada sem fins lucrativos,SP,2.6478772091974,3
2016,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,Privada sem fins lucrativos,SP,3.34344212710276,4
2016,UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,Privada sem fins lucrativos,SP,2.77242317677985,3
2016,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,Privada sem fins lucrativos,RS,2.94211509476692,3
2016,UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,Privada sem fins lucrativos,RS,2.34409123204886,3
2016,UNIVERSIDADE NORTE DO PARANÁ,UNOPAR,Privada com fins lucrativos,PR,2.58560431855583,3
2016,UNIVERSIDADE PRESIDENTE ANTÔNIO CARLOS,UNIPAC,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,MG,2.06679090121597,3
2016,UNIVERSIDADE NOVE DE JULHO,UNINOVE,Privada sem fins lucrativos,SP,3.09558823473953,4
2016,UNIVERSIDADE CAMILO CASTELO BRANCO,UNICASTELO,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,SP,2.56696560021627,3
2016,UNIVERSIDADE PAULISTA,UNIP,Privada sem fins lucrativos,SP,2.85135251914085,3
2016,UNIVERSIDADE IGUAÇU,UNIG,Privada sem fins lucrativos,RJ,2.23365054559448,3
2016,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,MG,2.95635896767638,4
2016,UNIVERSIDADE TUIUTI DO PARANÁ,UTP,Privada com fins lucrativos,PR,2.96953106608161,4
2016,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,Pessoa Jurídica de Direito Público - Estadual,MG,2.76201870440702,3
2016,UNIVERSIDADE DE SANTO AMARO,UNISA,Privada sem fins lucrativos,SP,2.03785583744944,3
2016,UNIVERSIDADE DA AMAZÔNIA,UNAMA,Privada com fins lucrativos,PA,2.47071480375558,3
2016,UNIVERSIDADE SALVADOR,UNIFACS,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,BA,2.65336076195416,3
2016,UNIVERSIDADE CATÓLICA DOM BOSCO,UCDB,Privada sem fins lucrativos,MS,2.88910181047237,3
2016,UNIVERSIDADE TIRADENTES,UNIT,Privada com fins lucrativos,SE,2.91011689626926,3
2016,UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,Privada sem fins lucrativos,DF,2.81261712373281,3
2016,UNIVERSIDADE DE PERNAMBUCO,UPE,Pessoa Jurídica de Direito Público - Estadual,PE,2.70180157593946,3
2016,UNIVERSIDADE CIDADE DE SÃO PAULO,UNICID,Privada com fins lucrativos,SP,2.84566882239988,3
2016,UNIVERSIDADE DE MARÍLIA,UNIMAR,Privada com fins lucrativos,SP,2.97451130603006,4
2016,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,Privada sem fins lucrativos,RS,2.66917128554485,3
2016,UNIVERSIDADE PARANAENSE,UNIPAR,Privada sem fins lucrativos,PR,2.55410269229719,3
2016,UNIVERSIDADE DO CONTESTADO,UNC,Privada sem fins lucrativos,SC,2.64948867489059,3
2016,UNIVERSIDADE DE CRUZ ALTA,UNICRUZ,Privada sem fins lucrativos,RS,2.79666426223524,3
2016,UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,RS,2.58423027270657,3
2016,UNIVERSIDADE ANHANGUERA DE SÃO PAULO - UNIAN-SP,UNIAN - SP,Privada com fins lucrativos,SP,2.35798112700686,3
2016,UNIVERSIDADE IBIRAPUERA,UNIB,Privada sem fins lucrativos,SP,2.5503704494623,3
2016,UNIVERSIDADE ANHEMBI MORUMBI,UAM,Privada com fins lucrativos,SP,3.03880333883136,4
2016,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,UNIGRANRIO,Privada sem fins lucrativos,RJ,2.73865024126333,3
2016,UNIVERSIDADE GUARULHOS,UNG,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,SP,2.26952386046161,3
2016,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,SC,2.79305689350405,3
2016,UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,Privada sem fins lucrativos,SC,2.70535927733914,3
2016,UNIVERSIDADE DE FRANCA,UNIFRAN,Privada com fins lucrativos,SP,2.74879634025708,3
2016,UNIVERSIDADE VALE DO RIO DOCE,UNIVALE,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,MG,2.07984090370149,3
2016,UNIVERSIDADE CATÓLICA DO SALVADOR,UCSAL,Privada sem fins lucrativos,BA,2.23129865973823,3
2016,UNIVERSIDADE DE MOGI DAS CRUZES,UMC,Privada com fins lucrativos,SP,2.46127605130544,3
2016,UNIVERSIDADE BRAZ CUBAS,UBC,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,SP,2.43617708832194,3
2016,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,PUC GOIÁS,Privada sem fins lucrativos,GO,2.39654278260343,3
2016,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,Privada sem fins lucrativos,RJ,3.73090547723135,4
2016,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,UNIJUI,Privada sem fins lucrativos,RS,2.99988095685538,4
2016,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,Privada sem fins lucrativos,SP,3.65292248981532,4
2016,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Pessoa Jurídica de Direito Público - Estadual,RJ,3.63232769989594,4
2016,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Pessoa Jurídica de Direito Público - Federal,MA,2.95185387740176,4
2016,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Pessoa Jurídica de Direito Público - Federal,AC,2.67311513777125,3
2016,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,Pessoa Jurídica de Direito Público - Estadual,PB,2.76984123590732,3
2016,UNIVERSIDADE DE FORTALEZA,UNIFOR,Privada sem fins lucrativos,CE,2.65788821099781,3
2016,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Pessoa Jurídica de Direito Público - Estadual,MA,2.23723485480316,3
2016,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Pessoa Jurídica de Direito Público - Federal,PA,3.13586888281446,4
2016,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Pessoa Jurídica de Direito Público - Federal,RN,3.61665984969257,4
2016,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Pessoa Jurídica de Direito Público - Federal,PR,3.74863307533515,4
2016,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Pessoa Jurídica de Direito Público - Federal,RJ,3.45220230533936,4
2016,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Pessoa Jurídica de Direito Público - Federal,ES,3.33772584663631,4
2016,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,Pessoa Jurídica de Direito Público - Federal,RJ,3.4384222261741,4
2016,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Pessoa Jurídica de Direito Público - Federal,MG,4.22637468074737,5
2016,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Pessoa Jurídica de Direito Público - Federal,MG,3.68564585598526,4
2016,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pessoa Jurídica de Direito Público - Federal,AL,2.91703230141325,3
2016,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Pessoa Jurídica de Direito Público - Federal,BA,3.66225491797505,4
2016,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,Pessoa Jurídica de Direito Público - Federal,PB,3.44902062555787,4
2016,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Pessoa Jurídica de Direito Público - Federal,PE,3.79092755108909,4
2016,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Pessoa Jurídica de Direito Público - Federal,RS,4.298616565599,5
2016,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,Pessoa Jurídica de Direito Público - Federal,RS,3.80804563647523,4
2016,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Pessoa Jurídica de Direito Público - Federal,CE,3.79294794895388,4
2016,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Pessoa Jurídica de Direito Público - Federal,GO,3.43367068676372,4
2016,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Pessoa Jurídica de Direito Público - Federal,SC,4.07462981433921,5
2016,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Pessoa Jurídica de Direito Público - Federal,RJ,4.10696411224649,5
2016,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,Pessoa Jurídica de Direito Público - Federal,PE,3.44989710859902,4
2016,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,Pessoa Jurídica de Direito Público - Federal,PR,3.45536590082423,4
2016,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,Pessoa Jurídica de Direito Público - Federal,RN,3.54799003847188,4
2016,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,Pessoa Jurídica de Direito Público - Federal,PA,3.01726405871693,4
2016,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,Pessoa Jurídica de Direito Público - Federal,SP,4.07506822752806,5
2016,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,Pessoa Jurídica de Direito Público - Federal,MG,4.00062047142453,5
2016,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,Pessoa Jurídica de Direito Público - Federal,MG,3.42284722433159,4
2016,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,Pessoa Jurídica de Direito Público - Federal,MG,3.39997998529011,4
2016,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,Pessoa Jurídica de Direito Público - Federal,MG,3.51859311666556,4
2016,UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI,UNIFEI,Pessoa Jurídica de Direito Público - Federal,MG,3.63522647561751,4
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA",IFBA,Pessoa Jurídica de Direito Público - Federal,BA,2.77183340220776,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",IFMA,Pessoa Jurídica de Direito Público - Federal,MA,2.50679265258064,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL",IFRS,Pessoa Jurídica de Direito Público - Federal,RS,3.02928476632874,4
2016,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,USCS,Pessoa Jurídica de Direito Público - Municipal,SP,2.56400190031023,3
2016,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,Pessoa Jurídica de Direito Público - Estadual,PR,3.41235502285834,4
2016,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,Pessoa Jurídica de Direito Público - Federal,RS,3.42530627674509,4
2016,UNIVERSIDADE SALGADO DE OLIVEIRA,UNIVERSO,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,RJ,2.49789579303889,3
2016,UNIVERSIDADE VILA VELHA,UVV,Privada sem fins lucrativos,ES,3.29744335565632,4
2016,UNIVERSIDADE DE TAUBATÉ,UNITAU,Pessoa Jurídica de Direito Público - Municipal,SP,2.40810775054183,3
2016,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,Pessoa Jurídica de Direito Público - Estadual,BA,2.78750009677745,3
2016,UNIVERSIDADE NILTON LINS,UNINILTONLINS,Privada sem fins lucrativos,AM,2.29617307595268,3
2016,UNIVERSIDADE SÃO FRANCISCO,USF,Privada sem fins lucrativos,SP,2.7616780399981,3
2016,UNIVERSIDADE ANHANGUERA - UNIDERP,UNIDERP,Privada com fins lucrativos,MS,2.37715955371413,3
2016,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,Pessoa Jurídica de Direito Público - Estadual,BA,3.05274206905677,4
2016,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,Pessoa Jurídica de Direito Público - Federal,RJ,3.59262060124325,4
2016,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Pessoa Jurídica de Direito Público - Federal,MS,3.07500192398451,4
2016,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,Pessoa Jurídica de Direito Público - Federal,RO,2.81156745995051,3
2016,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,Pessoa Jurídica de Direito Público - Federal,RS,3.7629949092914,4
2016,UNIVERSIDADE POTIGUAR,UNP,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,RN,2.75487606717228,3
2016,UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNEMAT,Pessoa Jurídica de Direito Público - Estadual,MT,2.53555567451301,3
2016,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,Pessoa Jurídica de Direito Público - Estadual,PR,3.19920577297705,4
2016,UNIVERSIDADE REGIONAL DO CARIRI,URCA,Pessoa Jurídica de Direito Público - Estadual,CE,2.44907361634074,3
2016,UNIVERSIDADE ESTADUAL DO PIAUÍ,UESPI,Pessoa Jurídica de Direito Público - Estadual,PI,2.40939309784678,3
2016,UNIVERSIDADE DE CUIABÁ,UNIC / PITÁGORAS,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,MT,2.70218757206259,3
2016,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,Pessoa Jurídica de Direito Público - Federal,RR,2.61040664666066,3
2016,UNIVERSIDADE DO CEUMA - UNICEUMA,UNICEUMA,Privada sem fins lucrativos,MA,2.93827210242748,3
2016,UNIVERSIDADE DO TOCANTINS,UNITINS,Pessoa Jurídica de Direito Público - Estadual,TO,1.70977515801378,2
2016,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Pessoa Jurídica de Direito Público - Federal,AP,2.45571037197483,3
2016,UNIVERSIDADE SANTA CECÍLIA,UNISANTA,Privada sem fins lucrativos,SP,2.92812601911503,3
2016,UNIVERSIDADE METROPOLITANA DE SANTOS,UNIMES,Privada sem fins lucrativos,SP,2.32883143667746,3
2016,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,Pessoa Jurídica de Direito Público - Estadual,RJ,3.94575690820535,5
2016,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,Pessoa Jurídica de Direito Público - Estadual,MS,2.65840439055089,3
2016,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Pessoa Jurídica de Direito Público - Estadual,MG,2.21100886586136,3
2016,UNIVERSIDADE POSITIVO,UP,Privada com fins lucrativos,PR,3.05093240271831,4
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",IFRN,Pessoa Jurídica de Direito Público - Federal,RN,2.72059072751783,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",IF Fluminense,Pessoa Jurídica de Direito Público - Federal,RJ,2.94746672769767,4
2016,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,UNICENTRO,Pessoa Jurídica de Direito Público - Estadual,PR,3.47212067815413,4
2016,UNIVERSIDADE DE ITAÚNA,UI,Privada sem fins lucrativos,MG,2.2078800967124,3
2016,UNIVERSIDADE CÂNDIDO MENDES,UCAM,Privada sem fins lucrativos,RJ,2.21059516040849,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",IFPB,Pessoa Jurídica de Direito Público - Federal,PB,2.89860177522225,3
2016,UNIVERSIDADE DO PLANALTO CATARINENSE,UNIPLAC,Privada sem fins lucrativos,SC,2.39646019936086,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",IF Goiano,Pessoa Jurídica de Direito Público - Federal,GO,3.30520362345022,4
2016,UNIVERSIDADE FUMEC,FUMEC,Privada sem fins lucrativos,MG,2.60065091367222,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",IFSul,Pessoa Jurídica de Direito Público - Federal,RS,3.13630969127212,4
2016,UNIVERSIDADE DO VALE DO SAPUCAÍ,UNIVÁS,Privada sem fins lucrativos,MG,2.63102109696819,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",IFCE,Pessoa Jurídica de Direito Público - Federal,CE,2.70838233913264,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IFES,Pessoa Jurídica de Direito Público - Federal,ES,3.00810476508479,4
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",IFPE,Pessoa Jurídica de Direito Público - Federal,PE,2.65598064536643,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,Pessoa Jurídica de Direito Público - Federal,SP,2.84649940389885,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFG,Pessoa Jurídica de Direito Público - Federal,GO,2.59502156122086,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS",IFAM,Pessoa Jurídica de Direito Público - Federal,AM,2.56226204938087,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",IFPA,Pessoa Jurídica de Direito Público - Federal,PA,2.13456706410559,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",IFPI,Pessoa Jurídica de Direito Público - Federal,PI,2.43218651123456,3
2016,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,Pessoa Jurídica de Direito Público - Federal,PB,3.25576667383865,4
2016,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,UNOCHAPECÓ,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,SC,2.70773345293708,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS",IFAL,Pessoa Jurídica de Direito Público - Federal,AL,2.2585850434356,3
2016,"Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano",IF Sertão,Pessoa Jurídica de Direito Público - Federal,PE,2.43053362200286,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",IFSC,Pessoa Jurídica de Direito Público - Federal,SC,2.60205922384743,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO",IFRJ,Pessoa Jurídica de Direito Público - Federal,RJ,3.00556847416386,4
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO",IFMT,Pessoa Jurídica de Direito Público - Federal,MT,2.48490924408474,3
2016,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO",IFTM,Pessoa Jurídica de Direito Público - Federal,MG,3.12073731420554,4
2016,UNIVERSIDADE DO ESTADO DO AMAZONAS,UEA,Pessoa Jurídica de Direito Público - Estadual,AM,2.62734949894812,3
