Ano,Nome da IES,Sigla da IES,Categ. Administrativa,UF da IES,IGC (Contínuo),IGC (faixa)
2015,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,Pessoa Jurídica de Direito Público - Federal,PB,3.4249,4
2015,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Pessoa Jurídica de Direito Público - Federal,PE,3.7637,4
2015,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Pessoa Jurídica de Direito Público - Federal,RS,4.2854,5
2015,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,Pessoa Jurídica de Direito Público - Federal,RS,3.7902,4
2015,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Pessoa Jurídica de Direito Público - Federal,CE,3.7468,4
2015,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Pessoa Jurídica de Direito Público - Federal,GO,3.4614,4
2015,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Pessoa Jurídica de Direito Público - Federal,SC,4.0935,5
2015,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Pessoa Jurídica de Direito Público - Federal,RJ,4.1191,5
2015,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,Pessoa Jurídica de Direito Público - Federal,PE,3.3203,4
2015,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,Pessoa Jurídica de Direito Público - Federal,PR,3.4429,4
2015,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,Pessoa Jurídica de Direito Público - Federal,RN,3.4821,4
2015,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,Pessoa Jurídica de Direito Público - Federal,PA,2.341,3
2015,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,Pessoa Jurídica de Direito Público - Federal,SP,4.1427,5
2015,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,Pessoa Jurídica de Direito Público - Federal,MG,4.041,5
2015,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,Pessoa Jurídica de Direito Público - Federal,MG,3.4252,4
2015,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,Pessoa Jurídica de Direito Público - Federal,MG,3.3505,4
2015,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,Pessoa Jurídica de Direito Público - Federal,MG,3.5779,4
2015,UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI,UNIFEI,Pessoa Jurídica de Direito Público - Federal,MG,3.6217,4
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA",IFBA,Pessoa Jurídica de Direito Público - Federal,BA,2.762,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",IFMA,Pessoa Jurídica de Direito Público - Federal,MA,2.4998,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL",IFRS,Pessoa Jurídica de Direito Público - Federal,RS,3.005,4
2015,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,USCS,Pessoa Jurídica de Direito Público - Municipal,SP,2.6074,3
2015,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,Pessoa Jurídica de Direito Público - Estadual,PR,3.4571,4
2015,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,Pessoa Jurídica de Direito Público - Federal,RS,3.3799,4
2015,UNIVERSIDADE SALGADO DE OLIVEIRA,UNIVERSO,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,RJ,2.4392,3
2015,UNIVERSIDADE VILA VELHA,UVV,Privada sem fins lucrativos,ES,3.0993,4
2015,UNIVERSIDADE DE TAUBATÉ,UNITAU,Pessoa Jurídica de Direito Público - Municipal,SP,2.3937,3
2015,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,Pessoa Jurídica de Direito Público - Estadual,BA,2.6748,3
2015,UNIVERSIDADE NILTON LINS,UNINILTONLINS,Privada sem fins lucrativos,AM,2.3878,3
2015,UNIVERSIDADE SÃO FRANCISCO,USF,Privada sem fins lucrativos,SP,2.7614,3
2015,UNIVERSIDADE ANHANGUERA - UNIDERP,UNIDERP,Privada com fins lucrativos,MS,2.3319,3
2015,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,Pessoa Jurídica de Direito Público - Estadual,BA,3.0866,4
2015,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,Pessoa Jurídica de Direito Público - Federal,RJ,3.4612,4
2015,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Pessoa Jurídica de Direito Público - Federal,MS,3.0536,4
2015,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,Pessoa Jurídica de Direito Público - Federal,RO,2.6948,3
2015,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,Pessoa Jurídica de Direito Público - Federal,RS,3.8012,4
2015,UNIVERSIDADE POTIGUAR,UNP,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,RN,2.6944,3
2015,UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNEMAT,Pessoa Jurídica de Direito Público - Estadual,MT,2.5212,3
2015,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,Pessoa Jurídica de Direito Público - Estadual,PR,3.1653,4
2015,UNIVERSIDADE REGIONAL DO CARIRI,URCA,Pessoa Jurídica de Direito Público - Estadual,CE,2.4695,3
2015,UNIVERSIDADE ESTADUAL DO PIAUÍ,UESPI,Pessoa Jurídica de Direito Público - Estadual,PI,2.4253,3
2015,UNIVERSIDADE DE CUIABÁ,UNIC / PITÁGORAS,Privada com fins lucrativos,MT,2.6341,3
2015,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,Pessoa Jurídica de Direito Público - Federal,RR,2.7379,3
2015,UNIVERSIDADE DO CEUMA - UNICEUMA,UNICEUMA,Privada sem fins lucrativos,MA,2.8586,3
2015,UNIVERSIDADE DO TOCANTINS,UNITINS,Pessoa Jurídica de Direito Público - Estadual,TO,1.4482,2
2015,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Pessoa Jurídica de Direito Público - Federal,AP,2.3798,3
2015,UNIVERSIDADE SANTA CECÍLIA,UNISANTA,Privada sem fins lucrativos,SP,2.8764,3
2015,UNIVERSIDADE METROPOLITANA DE SANTOS,UNIMES,Privada sem fins lucrativos,SP,2.327,3
2015,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,Pessoa Jurídica de Direito Público - Estadual,RJ,3.8798,4
2015,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,Pessoa Jurídica de Direito Público - Estadual,MS,2.6134,3
2015,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Pessoa Jurídica de Direito Público - Estadual,MG,2.1995,3
2015,UNIVERSIDADE POSITIVO,UP,Privada com fins lucrativos,PR,3.0152,4
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",IFRN,Pessoa Jurídica de Direito Público - Federal,RN,2.6171,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",IF Fluminense,Pessoa Jurídica de Direito Público - Federal,RJ,2.915,3
2015,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,UNICENTRO,Pessoa Jurídica de Direito Público - Estadual,PR,3.4563,4
2015,UNIVERSIDADE DE ITAÚNA,UI,Privada sem fins lucrativos,MG,2.2832,3
2015,UNIVERSIDADE CÂNDIDO MENDES,UCAM,Privada sem fins lucrativos,RJ,2.2092,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",IFPB,Pessoa Jurídica de Direito Público - Federal,PB,2.8855,3
2015,UNIVERSIDADE DO PLANALTO CATARINENSE,UNIPLAC,Privada sem fins lucrativos,SC,2.3415,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",IF Goiano,Pessoa Jurídica de Direito Público - Federal,GO,3.2318,4
2015,UNIVERSIDADE FUMEC,FUMEC,Privada sem fins lucrativos,MG,2.6092,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",IFSul,Pessoa Jurídica de Direito Público - Federal,RS,3.0766,4
2015,UNIVERSIDADE DO VALE DO SAPUCAÍ,UNIVÁS,Privada sem fins lucrativos,MG,2.8342,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",IFCE,Pessoa Jurídica de Direito Público - Federal,CE,2.7331,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IFES,Pessoa Jurídica de Direito Público - Federal,ES,2.8221,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",IFPE,Pessoa Jurídica de Direito Público - Federal,PE,2.5311,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,Pessoa Jurídica de Direito Público - Federal,SP,2.8341,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFG,Pessoa Jurídica de Direito Público - Federal,GO,2.5704,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS",IFAM,Pessoa Jurídica de Direito Público - Federal,AM,2.4603,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",IFPA,Pessoa Jurídica de Direito Público - Federal,PA,2.0847,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",IFPI,Pessoa Jurídica de Direito Público - Federal,PI,2.3854,3
2015,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,Pessoa Jurídica de Direito Público - Federal,PB,3.2279,4
2015,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,UNOCHAPECÓ,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,SC,2.6313,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS",IFAL,Pessoa Jurídica de Direito Público - Federal,AL,2.2403,3
