"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"04/2019";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"2.484.635,79";"10.188.224,53";"9.694.671,06";"285.294,25";
"08/2019";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"1.859.745,19";"9.502.975,03";"8.142.020,48";"49.051,64";
"03/2019";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"2.390.463,41";"9.606.299,78";"9.630.787,77";"525.640,28";
"06/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"24.369.007,66";"187.624.936,20";"143.239.407,12";"7.941.271,23";
"05/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"15.718.990,10";"140.882.010,96";"137.767.438,06";"15.592.309,18";
"04/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"66.393.245,20";"136.702.826,67";"131.888.266,48";"16.116.076,71";
"02/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"8.016.832,28";"128.956.791,46";"130.463.425,58";"21.338.820,07";
"01/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"1.618.401.731,86";"130.654.592,35";"43.047.363,70";"118.145.603,38";
"08/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"9.030.649,32";"125.250.939,03";"99.135.911,64";"6.003.065,94";
"03/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"29.519.198,73";"130.079.036,68";"129.918.523,93";"19.881.046,97";
"07/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"16.608.211,59";"148.078.270,32";"191.489.638,34";"14.801.599,41";
"08/2019";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"11.364.132,36";"55.071.231,23";"49.722.688,17";"1.535.640,01";
"04/2019";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"11.912.791,12";"58.844.241,59";"60.049.467,92";"5.797.639,01";
"02/2019";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"14.364.839,83";"55.062.258,24";"54.446.413,17";"9.340.524,00";
"01/2019";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"639.762.891,07";"53.292.332,69";"15.176.990,37";"54.827.297,61";
"06/2019";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"6.546.603,90";"79.295.821,33";"64.352.922,42";"3.043.149,45";
"03/2019";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"11.902.088,38";"58.810.326,28";"54.858.712,53";"7.593.552,20";
"07/2019";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"18.997.882,96";"65.912.127,02";"79.674.325,41";"2.151.174,00";
"05/2019";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"19.450.163,19";"64.635.877,69";"58.541.422,67";"6.522.858,59";
"05/2019";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"20.955.411,35";"66.423.065,65";"73.329.227,42";"2.472.662,87";
"04/2019";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"22.357.731,90";"71.949.409,42";"67.517.014,43";"1.086.486,65";
"03/2019";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"7.446.884,99";"67.282.394,01";"65.165.740,90";"3.996.123,18";
"01/2019";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"519.102.155,58";"64.468.577,33";"18.854.135,16";"57.707.850,65";
"06/2019";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"33.728.546,94";"87.067.400,62";"64.348.784,63";"1.361.312,77";
"02/2019";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"12.098.179,98";"64.185.184,37";"63.980.091,00";"1.651.885,33";
"08/2019";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"48.092.056,95";"4.743.916,42";"51.379.557,58";"1.549.754,55";
"07/2019";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"58.816.777,07";"71.140.594,71";"89.094.073,87";"1.747.189,62";
"01/2019";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"231.177.615,95";"18.809.603,44";"6.179.866,02";"22.576.020,72";
"07/2019";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"5.370.437,45";"25.182.864,39";"30.526.928,43";"7.565.656,44";
